variable,meaning,construction,use_or_expected_direction
WDI,风向漂移指数,当期主导风向角与基准期主导风向角的圆形差值,衡量主风向偏移程度
WCI,风向集中度,主导扇区风频占比或 1 减圆形方差,越低表示风向更分散且出力更不稳定
WNS,风向非平稳性,滚动窗口内最优主风向和风玫瑰结构变化率,衡量最优建设方案过时速度
delta_AEP_wd,风向导致的 AEP 损失,固定风向情景 AEP 减实际风向情景 AEP,识别风向变化的边际影响
T_fail,方案失效时间,反事实建设方案首次低于设计 AEP 阈值的年份,衡量当年最优方案生命周期风险
Rtheta_star,最低方向冗余角,满足未来风向路径下可靠性约束的最小设计扇区,用于动态鲁棒规划
dominant_direction,主导风向角,给定时期内风能密度或风频最高的方向角,用于构造风玫瑰和布局主轴
circular_variance,风向圆形方差,基于圆形统计计算的方向离散程度,衡量风向分散程度
effective_wind_energy_density,有效风能密度,按风速三次方和方向频率加权计算,连接气象风场和发电潜力
wake_loss_rate,尾流损失率,无尾流情景 AEP 与有尾流情景 AEP 的相对差值,衡量排布失配风险
AEP,年发电量,风速风向序列输入功率曲线和尾流模型后的年化发电量,核心发电量结果变量
capacity_factor,容量因子,实际或模拟发电量除以理论满发电量,衡量风电场运行效率
output_volatility,出力波动率,小时或日尺度发电量的标准差或变异系数,衡量并网稳定性
forecast_error,预测误差,预测出力与实际或模拟出力的差值,衡量非平稳风向对预测系统的影响
layout_axis_deg,风电场排布主轴,风机阵列主方向角,用于比较历史设计与未来风向漂移
direction_redundancy_deg,方向冗余角,设计中为未来风向不确定性预留的方向扇区宽度,动态鲁棒设计核心参数
