turbine_model,wind_speed_ms,power_kW,thrust_coefficient
nrel_5MW,0.0,0.0,0.0
nrel_5MW,2.9,0.0,0.0
nrel_5MW,3.0,40.518011517569214,1.132034888
nrel_5MW,4.0,177.67162506419703,0.999470963
nrel_5MW,5.0,403.900880943964,0.917697381
nrel_5MW,6.0,737.5889584824021,0.860849503
nrel_5MW,7.0,1187.1774030611875,0.815371198
nrel_5MW,7.1,1239.245945375778,0.811614904
nrel_5MW,7.2,1292.5184293723503,0.807939328
nrel_5MW,7.3,1347.3213147477102,0.80443352
nrel_5MW,7.4,1403.2573725578948,0.800993851
nrel_5MW,7.5,1460.7011898730707,0.79768116
nrel_5MW,7.6,1519.6419125979983,0.794529244
nrel_5MW,7.7,1580.174365096404,0.791495834
nrel_5MW,7.8,1642.1103166918167,0.788560434
nrel_5MW,7.9,1705.758292831,0.787217182
nrel_5MW,8.0,1771.1659528893977,0.787127977
nrel_5MW,9.0,2518.553107505315,0.785839257
nrel_5MW,10.0,3448.381605840943,0.783812219
nrel_5MW,10.1,3552.140809000129,0.783568108
nrel_5MW,10.2,3657.9545431794127,0.783328285
nrel_5MW,10.3,3765.121299313842,0.781194418
nrel_5MW,10.4,3873.928844315059,0.777292539
nrel_5MW,10.5,3984.4800226955504,0.773464375
nrel_5MW,10.6,4096.582833096852,0.769690236
nrel_5MW,10.7,4210.721306623712,0.766001924
nrel_5MW,10.8,4326.154305853405,0.762348072
nrel_5MW,10.9,4443.395565353604,0.758760824
nrel_5MW,11.0,4562.497934188341,0.755242872
nrel_5MW,11.1,4683.419890251577,0.751792927
nrel_5MW,11.2,4806.164748311019,0.748434131
nrel_5MW,11.3,4929.931918769215,0.745113997
nrel_5MW,11.4,5000.0,0.717806682
nrel_5MW,11.5,5000.0,0.672204789
nrel_5MW,11.6,5000.0,0.63831272
nrel_5MW,11.7,5000.0,0.610176496
nrel_5MW,11.8,5000.0,0.585456847
nrel_5MW,11.9,5000.0,0.563222111
nrel_5MW,12.0,5000.0,0.542912273
nrel_5MW,13.0,5000.0,0.399312061
nrel_5MW,14.0,5000.0,0.310517829
nrel_5MW,15.0,5000.0,0.248633226
nrel_5MW,16.0,5000.0,0.203543725
nrel_5MW,17.0,5000.0,0.169616419
nrel_5MW,18.0,5000.0,0.143478955
nrel_5MW,19.0,5000.0,0.122938861
nrel_5MW,20.0,5000.0,0.106515296
nrel_5MW,21.0,5000.0,0.093026095
nrel_5MW,22.0,5000.0,0.081648606
nrel_5MW,23.0,5000.0,0.072197368
nrel_5MW,24.0,5000.0,0.064388275
nrel_5MW,25.0,5000.0,0.057782745
nrel_5MW,25.1,0.0,0.0
nrel_5MW,50.0,0.0,0.0
iea_10MW,0.0,0.0,0.0
iea_10MW,2.9,0.0,0.0
iea_10MW,3.0,35.60156,0.915
iea_10MW,4.0,414.0606,0.926
iea_10MW,5.0,1009.90686,0.921
iea_10MW,6.0,1855.02326,0.895
iea_10MW,7.0,2963.01442,0.885
iea_10MW,8.0,4440.26484,0.873
iea_10MW,9.0,6330.82856,0.827
iea_10MW,9.5,7392.13274,0.789
iea_10MW,10.0,8514.32824,0.754
iea_10MW,10.5,9691.10578,0.721
iea_10MW,11.0,10000.0,0.591
iea_10MW,11.5,10000.0,0.49
iea_10MW,12.0,10000.0,0.418
iea_10MW,13.0,10000.0,0.318
iea_10MW,14.0,10000.0,0.251
iea_10MW,15.0,10000.0,0.203
iea_10MW,16.0,10000.0,0.167
iea_10MW,18.0,10000.0,0.119
iea_10MW,20.0,10000.0,0.088
iea_10MW,25.0,10000.0,0.049
iea_10MW,25.01,0.0,0.0
iea_10MW,50.0,0.0,0.0
iea_15MW,0.0,0.0,0.0
iea_15MW,2.9,0.0,0.0
iea_15MW,3.0,42.733312,0.80742173
iea_15MW,3.54953237,292.585981,0.784655297
iea_15MW,4.067900771,607.966543,0.781771245
iea_15MW,4.553906848,981.097693,0.785377072
iea_15MW,5.006427063,1401.98084,0.788045584
iea_15MW,5.424415288,1858.67086,0.789922119
iea_15MW,5.806905228,2337.575997,0.790464625
iea_15MW,6.153012649,2824.097302,0.789868339
iea_15MW,6.461937428,3303.06456,0.788727582
iea_15MW,6.732965398,3759.432328,0.787359348
iea_15MW,6.965470002,4178.637714,0.785895402
iea_15MW,7.158913742,4547.19121,0.778275899
iea_15MW,7.312849418,4855.342682,0.778275899
iea_15MW,7.426921164,5091.537139,0.778275899
iea_15MW,7.500865272,5248.453137,0.778275899
iea_15MW,7.534510799,5320.793207,0.778275899
iea_15MW,7.541241633,5335.345498,0.778275899
iea_15MW,7.58833327,5437.90563,0.778275899
iea_15MW,7.675676842,5631.253025,0.778275899
iea_15MW,7.803070431,5920.980626,0.778275899
iea_15MW,7.970219531,6315.115602,0.778275899
iea_15MW,8.176737731,6824.470067,0.778275899
iea_15MW,8.422147605,7462.846389,0.778275899
iea_15MW,8.70588182,8238.359448,0.778275899
iea_15MW,9.027284445,9167.96703,0.778275899
iea_15MW,9.385612468,10285.211,0.778275899
iea_15MW,9.780037514,11617.23699,0.778275899
iea_15MW,10.20964776,13194.41511,0.778275899
iea_15MW,10.67345004,15000.0,0.77176172
iea_15MW,10.86770694,15000.0,0.747149663
iea_15MW,11.17037214,15000.0,0.562338457
iea_15MW,11.6992653,15000.0,0.463477777
iea_15MW,12.25890683,15000.0,0.389083718
iea_15MW,12.84800295,15000.0,0.329822385
iea_15MW,13.46519181,15000.0,0.281465071
iea_15MW,14.10904661,15000.0,0.241494345
iea_15MW,14.77807889,15000.0,0.208180574
iea_15MW,15.470742,15000.0,0.180257568
iea_15MW,16.18543466,15000.0,0.156747535
iea_15MW,16.92050464,15000.0,0.136877529
iea_15MW,17.67425264,15000.0,0.120026379
iea_15MW,18.44493615,15000.0,0.105689427
iea_15MW,19.23077353,15000.0,0.093453742
iea_15MW,20.02994808,15000.0,0.082979637
iea_15MW,20.8406123,15000.0,0.073986457
iea_15MW,21.66089211,15000.0,0.066241166
iea_15MW,22.4888912,15000.0,0.059552107
iea_15MW,23.32269542,15000.0,0.053756866
iea_15MW,24.1603772,15000.0,0.048721662
iea_15MW,25,15000.0,0.044334197
iea_15MW,25.02,0.0,0.0
iea_15MW,50.0,0.0,0.0
