farm_id,n_expansions,downwind_share,crosswind_share
4,4,0.0,0.75
5,3,0.0,0.6666666666666666
8,3,0.0,0.3333333333333333
35,2,0.0,1.0
37,1,0.0,0.0
40,2,0.0,0.0
47,1,0.0,0.0
48,1,0.0,0.0
50,2,0.5,0.0
56,1,0.0,1.0
64,2,0.0,0.0
69,1,0.0,0.0
79,1,0.0,0.0
80,1,1.0,0.0
85,1,0.0,1.0
86,1,0.0,0.0
91,1,0.0,1.0
92,1,1.0,0.0
93,1,1.0,0.0
95,1,1.0,0.0
103,1,1.0,0.0
104,1,0.0,0.0
107,1,1.0,0.0
111,2,0.0,0.0
115,2,0.5,0.0
117,1,0.0,1.0
119,1,0.0,0.0
125,1,0.0,1.0
126,2,1.0,0.0
127,1,0.0,0.0
129,1,0.0,0.0
133,3,0.3333333333333333,0.0
135,1,0.0,1.0
139,2,0.5,0.5
143,3,0.0,1.0
